Word,Level,Category,Details
bestseller,B2,arts and media,/american-english/words/usdetail/524
beginner,A2,people: personality,/american-english/words/usdetail/501
CD player,A1,technology,/american-english/words/usdetail/821
browser,B2,technology,/american-english/words/usdetail/675
backpacker,B1,travel,/american-english/words/usdetail/416
bumper,B2,travel,/american-english/words/usdetail/694
cleaner,A2,work,/american-english/words/usdetail/944
babysitter,B1,work,/american-english/words/usdetail/410
barber,B1,work,/american-english/words/usdetail/453
barber,B1,work,/american-english/words/usdetail/453
builder,B1,work,/american-english/words/usdetail/684
adviser,C1,work,/american-english/words/usdetail/114
classic,B2,arts and media,/american-english/words/usdetail/936
characteristic,B2,describing things,/american-english/words/usdetail/863
clothing,B2,clothes,/american-english/words/usdetail/969
catering,B2,food and drink,/american-english/words/usdetail/813
apartment building,A2,homes and buildings,/american-english/words/usdetail/266
central heating,B1,homes and buildings,/american-english/words/usdetail/838
banking,A2,money,/american-english/words/usdetail/448
boxing,B1,shopping,/american-english/words/usdetail/620
camping,A2,travel,/american-english/words/usdetail/748
backpacking,B1,travel,/american-english/words/usdetail/417
animation,B1,arts and media,/american-english/words/usdetail/233
allegation,C1,communication,/american-english/words/usdetail/163
addition,B2,describing things,/american-english/words/usdetail/80
admission,B2,education,/american-english/words/usdetail/94
admission,B1,money,/american-english/words/usdetail/94
action,B1,people: actions,/american-english/words/usdetail/65
collection,B2,people: actions,/american-english/words/usdetail/1004
action,B2,people: actions,/american-english/words/usdetail/65
calculation,B2,people: actions,/american-english/words/usdetail/737
admiration,B2,people: personality,/american-english/words/usdetail/92
ambition,B2,people: personality,/american-english/words/usdetail/202
appreciation,B2,people: personality,/american-english/words/usdetail/287
affection,B2,people: personality,/american-english/words/usdetail/118
attraction,C2,relationships,/american-english/words/usdetail/380
celebration,B1,relationships,/american-english/words/usdetail/826
adoption,B2,relationships,/american-english/words/usdetail/100
application,B2,technology,/american-english/words/usdetail/282
capitalism,C2,politics,/american-english/words/usdetail/767
archaeologist,C1,work,/american-english/words/usdetail/298
clarity,C2,communication,/american-english/words/usdetail/933
capacity,B2,describing things,/american-english/words/usdetail/765
capacity,B2,people: personality,/american-english/words/usdetail/765
capacity,C1,work,/american-english/words/usdetail/765
activity,B2,work,/american-english/words/usdetail/68
apologize,B1,communication,/american-english/words/usdetail/268
argument,B1,communication,/american-english/words/usdetail/304
agreement,B2,communication,/american-english/words/usdetail/140
